iter	RMSE
519	0.306555516
520	0.3063795957
521	0.3061695612
522	0.3059655281
523	0.3057135533
524	0.3054572148
525	0.3052827709
526	0.3049244124
527	0.3046789722
528	0.3045072894
529	0.3041595045
530	0.3039409575
531	0.3037330206
532	0.3035261106
533	0.3033124991
534	0.3030920187
535	0.3029426879
536	0.3028657957
537	0.3025530982
538	0.3023904187
539	0.3020190689
540	0.3017780294
541	0.3015381471
542	0.3012646657
543	0.3010942113
544	0.3008640334
545	0.3008479487
546	0.3004783067
547	0.3003085947
548	0.3001457859
549	0.2998594277
550	0.2995729288
551	0.2992048723
552	0.2988225699
553	0.298603016
554	0.2983412207
555	0.298221422
556	0.2980275725
557	0.2976570084
558	0.2975105302
559	0.2972981754
560	0.2969849865
561	0.2966748898
562	0.2964586862
563	0.2962552798
564	0.295922282
565	0.2956249982
566	0.2954032278
567	0.2951534404
568	0.2948803537
569	0.2947969439
570	0.2945408808
571	0.2941701313
572	0.2939790199
573	0.2937964166
574	0.2935930395
575	0.2933970314
576	0.2931402872
577	0.2928598775
578	0.2925887404
579	0.2923710715
580	0.2922565093
581	0.2920990279
582	0.2920782166
583	0.2918287525
584	0.291818974
585	0.291564464
586	0.2912883549
587	0.2910029481
588	0.2908542565
589	0.2906741883
590	0.2903638187
591	0.2900569603
592	0.2898494691
593	0.2894478696
594	0.2892901349
595	0.289013229
596	0.2887412503
597	0.2884972827
598	0.2882240535
599	0.2880504207
600	0.2877665344
601	0.2874788355
602	0.2871971521
603	0.2869556531
604	0.2865760691
605	0.286315091
606	0.2861155751
607	0.2859061794
608	0.2856605513
609	0.2854504562
610	0.2850901406
611	0.2848481713
612	0.2846961509
613	0.284459052
614	0.2843480671
615	0.2841737166
616	0.2838477129
617	0.28366787
618	0.2834207435
619	0.2833187086
620	0.2831860814
621	0.2830660125
622	0.2828530975
623	0.2825122696
624	0.2823640632
625	0.2823385062
626	0.282153405
627	0.2819884047
628	0.281658931
629	0.2813556917
630	0.2812283324
631	0.2809458915
632	0.2807997164
633	0.2806045421
634	0.2803326263
635	0.2801586162
636	0.2799709131
637	0.2796714193
638	0.2794635247
639	0.2792864229
640	0.2790764391
641	0.2788147206
642	0.2786555551
643	0.2784930649
644	0.278181915
645	0.2780009676
646	0.2777705241
647	0.2775940871
648	0.277433177
649	0.2771965493
650	0.2770237249
651	0.2768330569
652	0.2766679098
653	0.276546098
654	0.2764469376
655	0.2762566527
656	0.2760773402
657	0.2759040605
658	0.2757719419
659	0.2755972394
660	0.2755594079
661	0.2753915054
662	0.2752418339
663	0.2749557228
664	0.2746475352
665	0.2744538188
666	0.2742619249
667	0.2740040969
668	0.2737250653
669	0.2736158952
670	0.2733235836
671	0.2730859118
672	0.2728745613
673	0.2724975307
674	0.2723122739
675	0.2721477629
676	0.2718955574
677	0.2717040289
678	0.2714445719
679	0.2712366855
680	0.2710000061
681	0.2708065144
682	0.2706811691
683	0.2703587187
684	0.2700646295
685	0.2699179045
686	0.2697257602
687	0.2695364762
688	0.2695166773
689	0.2694009537
690	0.2692190519
691	0.2690933483
692	0.268929469
693	0.2687197311
694	0.2685536096
695	0.2683027967
696	0.2680955594
697	0.2678689377
698	0.2676498229
699	0.2674146507
700	0.2671994447
701	0.2668690767
702	0.2666872519
703	0.2664667812
704	0.266231166
705	0.2660744561
706	0.2659863759
707	0.2658290035
708	0.2655745166
709	0.2653357078
